

FLAPPY,3,PizzaSlice​,1682420590531,1682420655159,360,2,4,4,5
SORTER,2,PizzaSlice​,1682420682156,1682420742242,310,3,5,5,3
DOBBLE,1,PizzaSlice​,1682420760983,1682420821116,395,3,4,5,5
FLAPPY,1,PizzaSlice​,1682420833217,1682420894770,290,2,4,4,3
SORTER,1,PizzaSlice​,1682420911219,1682420971293,220,4,4,4,3
RUNSHOOT,1,PizzaSlice​,1682420985361,1682421045947,130,4,4,5,4
FLAPPY,2,PizzaSlice​,1682421060432,1682421123053,290,3,4,4,4
SORTER,3,PizzaSlice​,1682421135660,1682421195739,140,4,4,4,5
RUNSHOOT,3,PizzaSlice​,1682421213470,1682421276199,129,4,5,4,5
DOBBLE,2,PizzaSlice​,1682421285386,1682421345482,590,2,4,4,3
RUNSHOOT,2,PizzaSlice​,1682421364106,1682421424574,132,3,4,4,4
DOBBLE,3,PizzaSlice​,1682421440071,1682421500678,625,3,4,3,3
SORTER,1,PizzaSlice2​,1682421664936,1682421725025,340,2,4,4,4
RUNSHOOT,3,PizzaSlice2​,1682421744950,1682421806585,155,3,4,4,4
FLAPPY,3,PizzaSlice2​,1682421816403,1682421879405,370,3,4,4,3
DOBBLE,2,PizzaSlice2​,1682421892690,1682421953325,745,3,4,2,3
SORTER,2,PizzaSlice2​,1682421967460,1682422027545,430,3,4,4,4
RUNSHOOT,1,PizzaSlice2​,1682422037259,1682422097344,132,2,3,3,4
DOBBLE,1,PizzaSlice2​,1682422111381,1682422172032,885,2,4,3,2
FLAPPY,1,PizzaSlice2​,1682422181013,1682422244284,290,3,4,3,3
DOBBLE,3,PizzaSlice2​,1682422253766,1682422314417,525,2,4,3,2
RUNSHOOT,2,PizzaSlice2​,1682422329504,1682422389589,137,3,3,4,4
SORTER,3,PizzaSlice2​,1682422399904,1682422459989,290,3,4,4,4
FLAPPY,2,PizzaSlice2​,1682422473123,1682422535710,280,3,4,3,3
