

FLAPPY,1,bluefox45​,1682597134244,1682597196319,290,2,3,4,2
SORTER,2,bluefox45​,1682597226071,1682597286154,420,4,3,4,3
DOBBLE,1,bluefox45​,1682597312336,1682597372970,230,4,4,4,4
FLAPPY,3,bluefox45​,1682597405005,1682597472664,350,3,3,3,2
RUNSHOOT,1,bluefox45​,1682597507420,1682597568606,118,3,3,4,2
DOBBLE,3,bluefox45​,1682597602161,1682597662828,340,5,5,5,5
FLAPPY,2,bluefox45​,1682597686506,1682597751530,290,2,3,3,1
SORTER,1,bluefox45​,1682597779079,1682597839164,300,4,3,4,4
DOBBLE,2,bluefox45​,1682597853416,1682597913533,245,3,3,4,4
RUNSHOOT,2,bluefox45​,1682597960569,1682598020652,125,3,4,4,3
SORTER,3,bluefox45​,1682598032252,1682598092337,260,4,4,4,4
RUNSHOOT,3,bluefox45​,1682598104096,1682598167208,137,4,5,4,3
RUNSHOOT,1,bluefox452​,1682598244750,1682598305489,128,3,3,4,2
FLAPPY,2,bluefox452​,1682598320508,1682598382212,290,2,2,3,2
SORTER,2,bluefox452​,1682598392627,1682598452712,360,4,4,4,4
DOBBLE,1,bluefox452​,1682598464558,1682598525164,265,4,4,3,4
RUNSHOOT,3,bluefox452​,1682598541667,1682598605507,147,4,4,4,3
SORTER,1,bluefox452​,1682598618526,1682598678610,350,4,4,3,4
RUNSHOOT,2,bluefox452​,1682598699469,1682598760938,112,3,3,4,3
DOBBLE,3,bluefox452​,1682598774407,1682598835108,330,4,4,4,4
SORTER,3,bluefox452​,1682598845507,1682598905593,290,3,3,4,4
FLAPPY,1,bluefox452​,1682598920228,1682598985335,290,3,3,3,1
DOBBLE,2,bluefox452​,1682598997752,1682599057886,255,4,4,4,4
FLAPPY,3,bluefox452​,1682599068084,1682599133142,340,2,3,3,2
