

RUNSHOOT,3,lionheart123​,1682587743862,1682587806807,134,4,5,5,4
FLAPPY,1,lionheart123​,1682587828967,1682587891621,290,3,5,4,3
SORTER,2,lionheart123​,1682587919419,1682587979505,420,5,5,5,4
FLAPPY,3,lionheart123​,1682588008676,1682588070307,370,4,5,4,3
RUNSHOOT,1,lionheart123​,1682588083525,1682588144961,112,4,4,4,3
SORTER,3,lionheart123​,1682588159116,1682588219199,320,5,5,5,4
DOBBLE,2,lionheart123​,1682588242562,1682588302661,255,3,4,4,4
FLAPPY,2,lionheart123​,1682588324616,1682588388076,290,3,4,3,3
RUNSHOOT,2,lionheart123​,1682588414594,1682588476009,110,3,3,4,3
DOBBLE,3,lionheart123​,1682588496446,1682588557621,330,3,4,4,4
SORTER,1,lionheart123​,1682588579729,1682588639814,390,4,4,5,4
DOBBLE,1,lionheart123​,1682588654953,1682588715070,360,4,4,4,5
DOBBLE,3,lionheart1232​,1682588943735,1682589004394,385,3,4,4,5
SORTER,2,lionheart1232​,1682589028478,1682589088557,340,4,4,4,4
RUNSHOOT,3,lionheart1232​,1682589104045,1682589167682,134,4,4,3,3
SORTER,1,lionheart1232​,1682589185689,1682589245773,500,5,4,5,3
FLAPPY,2,lionheart1232​,1682589270703,1682589332705,290,4,3,3,2
RUNSHOOT,1,lionheart1232​,1682589351045,1682589411347,124,3,4,4,3
DOBBLE,2,lionheart1232​,1682589438180,1682589498296,275,3,4,4,4
RUNSHOOT,2,lionheart1232​,1682589521490,1682589582243,121,3,3,4,3
SORTER,3,lionheart1232​,1682589606236,1682589666322,190,5,5,5,4
FLAPPY,1,lionheart1232​,1682589685061,1682589748083,290,3,3,4,2
DOBBLE,1,lionheart1232​,1682589770593,1682589831212,380,3,4,4,4
FLAPPY,3,lionheart1232​,1682589845498,1682589907284,370,4,4,5,3
