alpha,beta,gamma,game,difficulty,session,id,timestep
-0.14736804108622922,1.0844440253126684,41.18927378361022,-,-,-,QAC39D,0
-0.2911157159705808,-0.2401582615469892,1.0944586802870673,SORTER,3,1,QAC39D,1
2.5816350643748662,1.8811711443564596,0.6053051825770949,SORTER,3,1,QAC39D,2
1.3272312707964935,1.8869547572780496,0.17257039880409525,SORTER,3,1,QAC39D,3
0.3102539835634316,-0.06912755215341612,-0.13771818822330817,SORTER,3,1,QAC39D,4
1.4822320763434238,-0.02262821707074965,-0.07253371786051897,SORTER,3,1,QAC39D,5
0.08993088735017285,0.48913668585510545,-0.03507065167123132,SORTER,3,1,QAC39D,6
-0.49232379599388715,0.36126120307417775,-0.06579268300383824,SORTER,3,1,QAC39D,7
-0.11320775966743285,0.8381617482314639,-0.0035988449729728645,SORTER,3,1,QAC39D,8
-0.40186982784608327,0.4716770470327293,0.02613939453904314,SORTER,3,1,QAC39D,9
0.7466415043701048,0.9939121497913354,-0.05635551213480138,SORTER,3,1,QAC39D,10
-0.5441864790011376,-0.1257031397127064,0.041586887476177184,SORTER,3,1,QAC39D,11
-0.9460553560842387,-0.7753429564020798,-0.06983279146800761,SORTER,3,1,QAC39D,12
0.4988042445329065,0.44144878346531347,0.04056550606132482,SORTER,3,1,QAC39D,13
-0.06608128084100472,0.9764351623124476,0.06793186016736022,SORTER,3,1,QAC39D,14
0.24636217867049587,0.5148138855156567,0.04456181399139348,SORTER,3,1,QAC39D,15
-0.518492323139395,1.029284755186447,0.23314611280753858,SORTER,3,1,QAC39D,16
-0.863025863532706,0.39871912346784316,-0.03040636037273599,SORTER,3,1,QAC39D,17
-0.8575696806993032,0.040086289491099165,-0.0746065456545214,SORTER,3,1,QAC39D,18
-0.36782536524849435,-0.12298760174062537,0.07156824870215141,SORTER,3,1,QAC39D,19
-0.985685469474479,0.9961907813955824,0.16377822308648546,SORTER,3,1,QAC39D,20
-0.758376816116198,-0.23584247988809748,0.03701270471819633,SORTER,3,1,QAC39D,21
-0.9956506149536745,-0.966008136789559,-0.025125145143298524,SORTER,3,1,QAC39D,22
-0.4914224930168407,-0.7474840111759127,-0.15877633211615927,SORTER,3,1,QAC39D,23
3.847654669724937,0.6510615842680764,-0.020916376585588713,SORTER,3,1,QAC39D,24
1.1133705288220979,0.22716743171821274,0.01738252760313556,SORTER,3,1,QAC39D,25
0.327107342283212,0.9810447771855128,0.01958569595945884,SORTER,3,1,QAC39D,26
-0.14279847192280487,0.43210144616875956,0.014475053345894323,SORTER,3,1,QAC39D,27
-0.030388513278691787,0.45521135912635197,-0.14515143874494588,SORTER,3,1,QAC39D,28
2.8065419265878546,0.4374106200876393,0.004490415045164268,SORTER,3,1,QAC39D,29
-1.1420193530743978,0.038483737908300265,-0.0724222123522613,SORTER,3,1,QAC39D,30
-0.38689749627914066,1.3063477335314477,-0.052571003980205346,SORTER,3,1,QAC39D,31
-0.24546500162797932,-0.09232431106299709,-0.011778148858642654,SORTER,3,1,QAC39D,32
0.23376622841998151,-0.14846012024165064,-0.037796856339425124,SORTER,3,1,QAC39D,33
-0.4849536754500859,0.43519024909129456,0.01538237961210458,SORTER,3,1,QAC39D,34
0.12834819775061998,1.25853256274958,0.12131598085238528,SORTER,3,1,QAC39D,35
0.04880406281934164,0.4358011519269881,0.07506764426966907,SORTER,3,1,QAC39D,36
-0.15494585571429736,1.0819656219535188,0.11281815854778378,SORTER,3,1,QAC39D,37
-0.40080435363025135,0.8655937713013013,-0.0075501935139331115,SORTER,3,1,QAC39D,38
1.0478376365475293,0.478263428048184,0.0444568675452088,SORTER,3,1,QAC39D,39
-0.49819529417261005,0.4374064463970724,-0.0037332256706118483,SORTER,3,1,QAC39D,40
-0.5064438398784713,-0.18302043104500115,-0.06685170800067046,SORTER,3,1,QAC39D,41
-0.8615655238534445,0.36584276424525525,0.0022222737123182017,SORTER,3,1,QAC39D,42
-0.28173346351514794,0.6129840257309165,0.014663147866897548,SORTER,3,1,QAC39D,43
-0.31594679164061695,0.6201035332036765,0.140581441344029,SORTER,3,1,QAC39D,44
-0.0847373294288384,1.0048380727681467,0.027127520568151656,SORTER,3,1,QAC39D,45
0.31282983274212023,0.0728145979558459,-0.03206827462913969,SORTER,3,1,QAC39D,46
0.06752647092551543,-0.2137514099779595,-0.09165828567205286,SORTER,3,1,QAC39D,47
-0.4982447777415475,-0.39588820163154265,-0.028992259118164103,SORTER,3,1,QAC39D,48
-1.3387528633393029,-1.0148481016604631,-0.014001174686543685,SORTER,3,1,QAC39D,49
