game,difficulty,session,id,timestep,band,T7,O1,C1,Fp1,O2,C2,Fp2,T8
-,-,-,PTS92Q,0,alpha,-0.7667885441367568,-0.7847985456725011,-0.33135014778402233,-0.43874524447996177,-0.49367945344342684,-0.2799779457601861,-0.33009997606060054,3.303459229556901
FLAPPY,1,1,PTS92Q,1,alpha,0.1783441144633355,-0.05632352174384798,-0.40204497154999613,-0.13509263568609617,0.5513009832471211,-0.14271484759054615,0.0901199284901513,0.3170823647001443
FLAPPY,1,1,PTS92Q,2,alpha,0.3451883070266017,1.0050782546002301,-0.37839209456821365,0.08286834028877113,0.6806731391064471,-0.4276350329117439,-0.4644965304100434,-0.253704242581747
FLAPPY,1,1,PTS92Q,3,alpha,-0.28079932741642566,-0.5585174436549488,-0.617051915919636,-0.78501522938633,0.2573664531399001,-0.11262566902423125,-0.9953111232030697,-0.07018778384112215
FLAPPY,1,1,PTS92Q,4,alpha,-0.9157703969749108,-0.6767195815106399,-1.007542591803705,-1.1174676127842174,-0.6044697051206998,-0.8875182755878681,-1.042024430400662,0.26054200308995795
FLAPPY,1,1,PTS92Q,5,alpha,0.6447647767541238,-0.5660485247061378,-0.7487441314638826,-0.0930305023375551,-0.14397835426366587,-0.9207930785205405,2.095115911026702,-0.24411462580626395
FLAPPY,1,1,PTS92Q,6,alpha,-1.0897451497975867,-0.3707803541984935,-1.221512382378663,-1.1566499740030378,0.45666308038748166,-1.1608977893609052,-1.071089493389314,0.005678195779420321
FLAPPY,1,1,PTS92Q,7,alpha,-1.0351537665113346,-0.9316671808093712,-0.9092678615674374,-1.1479070134914982,-1.1097918873197576,-1.0118698391562988,-0.29398233553529296,-0.15589905835468137
FLAPPY,1,1,PTS92Q,8,alpha,-0.9446391677651731,0.13317988935534547,-0.8107993839070389,-0.9046683903356216,-0.17800097715365196,-0.8184700274563151,0.31920912120824113,0.14666735283080276
FLAPPY,1,1,PTS92Q,9,alpha,-1.0102255218736071,-1.1270440361368521,-0.8465753627922092,-0.8854173000660355,-0.7204782473751499,-0.4543775935576793,-0.8888574802796023,0.4709391367141151
FLAPPY,1,1,PTS92Q,10,alpha,-0.46677784079676365,-0.04245683132036484,-0.21699984491320615,-0.7877589545396912,0.4591552411200302,-0.12076430803137314,0.6513204244438832,0.06319891263763155
FLAPPY,1,1,PTS92Q,11,alpha,0.07643913982097848,1.9987796469604435,0.14881506974450226,0.06827053013087434,1.7901625285193847,0.449971280009836,0.5796543827675367,-0.42446720860210846
FLAPPY,1,1,PTS92Q,12,alpha,1.899964643072224,3.5250538229226396,-0.010496093495474803,1.4744053200886662,2.0367736611836045,1.4001319773428167,1.6213192393290052,-0.19362217230248627
FLAPPY,1,1,PTS92Q,13,alpha,-0.7587224950016442,-0.6587608628700209,-0.6679737357465942,-0.6595009613800771,-0.394005119654913,-0.3347479114113905,-0.659007949510035,-0.10137814034969742
FLAPPY,1,1,PTS92Q,14,alpha,-1.0805739567138308,-0.5008816909347813,-0.5148760179501348,-1.007592817460514,-0.003987163506320829,-0.5654541967684996,-0.9666409579975396,-0.11866629770429941
FLAPPY,1,1,PTS92Q,15,alpha,-0.691069891969114,-0.9094025199598653,-0.9399793078872586,-0.7951559679262983,-0.5928295360176679,-0.8992745661680317,-0.8354588167061898,-0.03854611880889038
FLAPPY,1,1,PTS92Q,16,alpha,-0.4642048711522781,-0.7438797593050368,-1.050964747835147,-0.953350830247208,-0.8676145631653142,-1.0015985646749117,-1.0283770576330584,-0.004183305765623072
FLAPPY,1,1,PTS92Q,17,alpha,-1.1506589645908536,-1.1470073645547971,-0.9317212612813035,-0.47488915376394425,-0.929714434116029,-0.5687409169896231,3.0222843790115563,0.03078799456755246
FLAPPY,1,1,PTS92Q,18,alpha,-1.1012498509428625,-1.0420867450282747,-0.47574997075068015,-0.5854310648109465,-0.7930057980813046,-0.2832902777009216,2.7673265849943753,-0.13422971815623153
FLAPPY,1,1,PTS92Q,19,alpha,-0.6859431855437624,-0.5090874796203233,-0.4681464118282331,-0.5969655944562953,-0.11174851808769885,-0.5634566726614115,-0.6474266056560453,-0.21859100072929213
FLAPPY,1,1,PTS92Q,20,alpha,-0.2594144720892477,-0.09214537691096052,-0.6626132035996032,-0.43189895240039367,-0.32619546712303854,-0.7662904873644462,-0.702067778979249,-0.05662443211339058
FLAPPY,1,1,PTS92Q,21,alpha,0.436465205308617,0.5833906139667953,-0.5138553460891643,0.24709972921172896,0.7986934038796085,-1.0297532466288029,-0.3535945401181255,-0.08811228482820638
FLAPPY,1,1,PTS92Q,22,alpha,-0.7352137799976117,-0.6281074379456906,-0.9949179103791285,-0.9327878767158612,-0.4109848153660698,-0.818766946994761,-0.9003804493556028,0.10340771462066523
FLAPPY,1,1,PTS92Q,23,alpha,0.3690662930753523,-0.37209488123256856,-0.5380649456098493,0.19863203423899997,-0.13828777190713798,-0.26688987434649025,0.8639706711412197,0.15525570073911832
FLAPPY,1,1,PTS92Q,24,alpha,-0.8111062917930367,0.9475324781664272,0.31168886627756126,-0.5764381243941535,0.7301058819985181,0.5084152899944203,-0.7985174978358166,0.1447931842939675
FLAPPY,1,1,PTS92Q,25,alpha,0.027000178918667586,0.5366652272393243,0.8045082439223462,-0.3549759707458771,0.6036200595824949,1.319707680452422,0.18952299466997963,-0.1070662813387376
FLAPPY,1,1,PTS92Q,26,alpha,-0.3556961457348388,-0.5754728029090876,-0.7002173358069567,-0.2215277751082703,-0.8376093908605268,-0.7827421815465625,1.7417118367581035,-0.1066369517287769
FLAPPY,1,1,PTS92Q,27,alpha,-0.11197753217962496,-0.34605174421988166,-0.8218336473231569,-0.6577952757243843,-0.6147298200783063,-0.975745897417983,-0.3797441931893108,-0.08695354166537131
FLAPPY,1,1,PTS92Q,28,alpha,0.03870149761851184,-0.29341686666676553,-0.4670706139453563,0.0691336453970426,0.5531047636571705,-0.5256882922686967,0.692559169502179,-0.2862532337361811
FLAPPY,1,1,PTS92Q,29,alpha,1.149973233800402,0.031650324011342004,-0.08539878182077995,0.9308571242146496,-0.5652027563251092,-0.7184009890652415,0.1480524081982156,0.1724074465027625
FLAPPY,1,1,PTS92Q,30,alpha,-0.158811561344896,2.3492173071554663,0.2308075309864828,-0.29009081773820034,0.6250170949828825,0.049057770624407686,-0.5824471344288941,0.2589945067352205
FLAPPY,1,1,PTS92Q,31,alpha,0.2962126307877324,1.7607515637608833,1.3054231988263572,0.7250076396859881,0.8613201587769757,1.1571052528157428,0.34626132551419186,0.20783056164331165
FLAPPY,1,1,PTS92Q,32,alpha,-0.8136543832508516,-0.7296674179013146,-0.9819227809683762,-1.118394267188887,-0.4954285328470516,-0.41290286905032436,-0.7817383448312943,0.7304383432541973
FLAPPY,1,1,PTS92Q,33,alpha,-1.0222544290799598,-0.20385883465290133,-0.319364688057541,-0.6619642068388758,-0.3057508686801971,0.050930868087110386,-0.30937324473105304,0.2247774375821754
FLAPPY,1,1,PTS92Q,34,alpha,-0.9753997650933666,-1.2117869224064866,-1.084616721658463,-1.153617602941486,-0.7901080054690943,-0.9461786287175881,-1.1288106380699237,-0.0889313281245643
FLAPPY,1,1,PTS92Q,35,alpha,-0.8013025683059601,-1.0914474376040604,-1.0183831587922187,-0.7421169699573874,-0.36409870676163725,-0.8714082437622004,0.14075601223570333,-0.17326281050479933
FLAPPY,1,1,PTS92Q,36,alpha,0.5533768378743343,-0.20891223137821024,-0.45876025937357867,0.4785660694486184,-0.5930567318203326,-0.5099194078092236,0.07327260545034142,-0.20895653842941056
FLAPPY,1,1,PTS92Q,37,alpha,0.7228187149716847,0.422505736850036,-0.32110322741206104,0.14385170577463274,-0.03161137575395845,0.06285259511786775,-0.3280723078345635,-0.3728790039467249
FLAPPY,1,1,PTS92Q,38,alpha,-0.6050178859211702,0.652722814663097,-0.06801421353829884,-0.3722269329087636,0.9268728359591615,0.23226081672205334,-0.39263218217841206,-0.053773449133552774
FLAPPY,1,1,PTS92Q,39,alpha,-0.9398347875045767,-0.7602209842347937,-0.9061158612289558,-0.9486689342741799,-0.7625940344871798,-0.95324391312462,-1.0324011502530452,-0.23564962064257827
FLAPPY,1,1,PTS92Q,40,alpha,-0.7085655945744517,1.5829016368394766,0.4164677674569951,-0.2086288215185472,1.8661263324049362,0.40302532439140504,0.4617905951406981,0.303570272132238
FLAPPY,1,1,PTS92Q,41,alpha,-1.1249902897537127,-0.4626380854771701,-1.2210701744621804,-1.1134027654188554,-0.2721507240977336,-0.9745945205413632,-0.9453621075019535,0.2934919325877088
FLAPPY,1,1,PTS92Q,42,alpha,-0.8139753973833938,-0.5717069577204354,-0.5862570742449622,-0.850233564828825,-0.1765304547816863,-0.4641754286558796,-1.0521396203288056,-0.1013235011909951
