game,difficulty,session,id,timestep,band,T7,O1,C1,Fp1,O2,C2,Fp2,T8
-,-,-,PizzaSlice,0,alpha,-1.327108301374247,-0.31300072666451556,-0.647512622242652,-0.6966262806084494,-0.6100947597315799,-0.5600714111982441,-0.8061352079418039,0.1530675070116705
FLAPPY,3,1,PizzaSlice,1,alpha,-0.9618849260444873,-0.6322728084611348,-0.859811110352877,-0.6947750866963864,-0.7029353220660579,-0.5753059495633035,0.3763535565237298,1.1802798316635879
FLAPPY,3,1,PizzaSlice,2,alpha,-0.7073568020920871,0.003555002009906879,-1.0691013349358662,-1.311589960448645,-0.5478738696215916,-0.9944020317996475,-0.5929252446144381,-1.1129956050931238
FLAPPY,3,1,PizzaSlice,3,alpha,-0.7378329646366797,1.1972284062286007,-0.7824710792165295,-1.021888289680244,-0.2510987839097828,-0.4108603825080031,-0.5558195563103613,-0.3163406178212166
FLAPPY,3,1,PizzaSlice,4,alpha,-1.2808660051677347,-0.9964435584648943,-0.8394424640204481,-0.873880877546298,-1.1434596365402436,-0.7865090472873176,-0.9297194432735271,-0.471286512873287
FLAPPY,3,1,PizzaSlice,5,alpha,-1.2359204634847907,-0.7817443985686794,0.4720997821024617,0.05504331922684809,0.16845869998963867,1.1071630851855645,0.8956701366585514,0.5234243800367256
FLAPPY,3,1,PizzaSlice,6,alpha,-1.0173852440494395,0.9591752783616359,0.3976787903463863,-0.07364514975112192,0.4080891081318366,0.8507944814999437,-0.08422051842541385,-0.13265711073517603
FLAPPY,3,1,PizzaSlice,7,alpha,-0.8599285114758093,-0.1563355465164805,-0.9137118072810531,-0.7027803475842112,-0.29047818759964306,-0.9343363120777481,-0.7434176008241506,-0.5722103177222998
FLAPPY,3,1,PizzaSlice,8,alpha,-1.3709469886852588,-0.6110119629161938,-0.9755306014718591,-0.9807011281274682,-0.3528671324007504,-0.7689446762642556,-0.36455595200007207,0.21591678908451378
FLAPPY,3,1,PizzaSlice,9,alpha,-1.3056778640658084,-0.3081265107192217,-0.9603507905188178,-0.8670347823065889,-0.5185986313344878,-0.8929615411123665,-0.8438368359841595,-0.7491151605531479
FLAPPY,3,1,PizzaSlice,10,alpha,-1.1578904251156577,-1.0350441597872242,-0.8921852262653114,-0.9339286595737941,-0.8016219777084511,-0.848985102308209,-1.0771309197983496,-0.8595656370567658
FLAPPY,3,1,PizzaSlice,11,alpha,-1.2576723819140816,-0.8830120997418381,-1.0683380153792894,-0.9103942748527419,-0.6297740936111552,-1.3205806546701417,-1.3616857872227077,-1.0685577284242593
FLAPPY,3,1,PizzaSlice,12,alpha,-1.2624263645216312,-1.117444320048001,-1.0183760159491833,-0.8962025304227133,-1.0733831651987666,-0.8737015820008766,-0.8377771057803384,-0.6372871101767767
FLAPPY,3,1,PizzaSlice,13,alpha,-1.2249045765354496,-0.784878765803097,-0.29437862716264196,-0.7877809973261531,-1.0940679539808265,-0.5804352495193525,-1.025632177559525,-0.9324170000118781
FLAPPY,3,1,PizzaSlice,14,alpha,-1.2369678452927628,-0.686894834206565,-0.776073740616004,-0.8869191988079026,-0.7603820149712058,-0.9977600217543466,-1.0791995582212888,-0.8786908399655737
FLAPPY,3,1,PizzaSlice,15,alpha,-0.88385661044469,-0.931506142867257,-0.9699496300096201,-0.7490985385001916,-0.808050711757657,-0.9652825639195479,-1.035183625715969,-0.5979320425297111
FLAPPY,3,1,PizzaSlice,16,alpha,-0.5418105597739326,0.15604696303273216,-0.3940733669705362,-0.28419638349082194,-0.6184491452700456,-0.2036547113552768,-0.08483211959904685,-0.30455358574409075
FLAPPY,3,1,PizzaSlice,17,alpha,-1.378215690861925,-0.976855128087871,-1.410940952250741,-1.2949539922964861,-1.2442030858222404,-1.301328621047312,-1.2381826569323058,-0.9675295934613899
FLAPPY,3,1,PizzaSlice,18,alpha,-1.2756885443523365,-0.6941601916959809,-0.35154486160264276,-0.7220017960539432,-0.7748954414837749,-0.39195967812512206,-0.9116189540905956,-0.998990733979381
FLAPPY,3,1,PizzaSlice,19,alpha,-1.1308903497521015,-0.7704614332236257,-0.9076312259956404,-0.9198691124160803,-0.7814714601000124,-0.8785002551367074,-0.779563672885925,-0.9265044585223039
FLAPPY,3,1,PizzaSlice,20,alpha,0.13170257298634264,0.9619935924299589,0.011287744222770225,0.37727861739120105,-0.31339555750017,-0.3496663746788851,-0.19135783364354106,-0.02030689689301872
FLAPPY,3,1,PizzaSlice,21,alpha,-1.0099742002862497,-0.04126985733513019,0.7011961062757386,-0.19907040912300167,-0.22159472077409584,2.140540622199932,0.7203550405728519,0.5639907151289136
FLAPPY,3,1,PizzaSlice,22,alpha,-1.3082674888350594,-0.5368762040956155,-0.8636974272429909,-1.1274084155166577,-0.3486792396651924,-0.6143622210668159,-0.7154147035041115,-0.5247754373412125
FLAPPY,3,1,PizzaSlice,23,alpha,-1.4319884513665466,-0.6192701137327785,-1.4245344059168428,-1.4050442421780394,-0.8824850860097783,-1.1889541770945977,-0.9863523032743577,-0.8516809552471546
