game,difficulty,session,id,timestep,band,T7,O1,C1,Fp1,O2,C2,Fp2,T8
-,-,-,WMS12P,0,alpha,0.3435493487864836,-0.0356273759799068,-0.19869179008508392,-0.06758102556813488,0.010857454513057852,-0.254346156194633,-0.28142253328661065,0.1149995478056467
DOBBLE,2,1,WMS12P,1,alpha,0.6242397415050183,3.318529068749261,0.02425477993612964,0.4203855398722032,2.1347903288866874,0.09054021685296967,0.08640208794991057,1.0767970555801125
DOBBLE,2,1,WMS12P,2,alpha,-0.010678633538349695,0.010106635411733168,-0.1481582189987578,-0.2636371408275458,-0.1317295293078107,-0.19350789251753994,-0.047215440751441524,0.4793856713932983
DOBBLE,2,1,WMS12P,3,alpha,-0.09917231782840613,-0.43428072148661506,-0.15884501127260958,-0.15662354459859545,-0.25855017377406764,-0.16981170827048792,-0.2640179396722742,-0.19223245449250423
DOBBLE,2,1,WMS12P,4,alpha,-0.2690276599790602,-0.16698977448082244,-0.19917755020092617,-0.18166727485251938,-0.3183237067849245,-0.18124970969366483,-0.049515024854834055,0.9405681974955865
DOBBLE,2,1,WMS12P,5,alpha,-0.18438103573672396,-0.5687466699399736,-0.31478980213968355,-0.5151956127330313,-0.32571617390662744,-0.3544207490589908,-0.11307456191770829,0.4525738275433629
DOBBLE,2,1,WMS12P,6,alpha,-0.25004809989568083,-0.4290037062629981,-0.1571236698188832,-0.18161782206624097,-0.3648379010039839,-0.09187852039352194,-0.14113379770589196,0.3708154409848672
DOBBLE,2,1,WMS12P,7,alpha,-0.36660454433077533,-0.22426395854436035,-0.25679655956137204,-0.4092914589336757,0.008961619412440735,-0.2417175951279642,-0.2012070889132897,-0.17325563987044523
DOBBLE,2,1,WMS12P,8,alpha,-0.18314824277720768,-0.767992170476992,-0.24655746647020696,-0.38017226610493243,-0.7221498527784886,-0.303807798864892,-0.3461679338561951,-0.4237056176201815
DOBBLE,2,1,WMS12P,9,alpha,-0.2067338333359023,-0.5651727678567546,-0.18494623349916445,-0.24233616608513217,-0.25742042181737035,-0.13623351841155956,-0.009028554267978205,0.19459307285120434
DOBBLE,2,1,WMS12P,10,alpha,-0.18825722301679948,-0.2821552002533329,-0.10423609144870623,-0.2232084809164399,0.2088995398041153,-0.1378811653859255,-0.006793774329231468,-0.2490192914441335
DOBBLE,2,1,WMS12P,11,alpha,0.10782390554455286,-0.21676591243552198,-0.15467794575089894,-0.15363908307589763,-0.2453002830229334,-0.26474193955240394,-0.2454361192321642,-0.032366250282832194
DOBBLE,2,1,WMS12P,12,alpha,-0.16018458542667402,-0.15440208418586565,0.09090048073056545,0.1476965687742096,0.08496881442892042,0.17603094422708745,0.16094976791427337,0.37485660875027677
DOBBLE,2,1,WMS12P,13,alpha,-0.25980131941574136,-0.5234682104332637,-0.21247363560485608,-0.36970713922396775,-0.4092398545492284,-0.27604029253975076,-0.24319323510637267,-0.20920678632583684
DOBBLE,2,1,WMS12P,14,alpha,-0.26480199481881994,-0.35730897129586275,-0.24070477660853945,-0.39569773018168725,0.15448804023025842,-0.2174561052548231,-0.276057724367548,-0.3902021937517549
DOBBLE,2,1,WMS12P,15,alpha,-0.3838104947642819,-0.11128554260580613,-0.10206807734516922,-0.20342999785324634,-0.0011949532997695418,-0.012170549914095961,-0.005744929058691622,0.34151430372587144
DOBBLE,2,1,WMS12P,16,alpha,-0.2737138616893465,-0.7296969579243037,-0.307286457841487,-0.42876110900454983,-0.7019668575628895,-0.33645121081901613,-0.30209797157934476,-0.22444068309836632
DOBBLE,2,1,WMS12P,17,alpha,-0.12594943378226905,-0.260040280302027,-0.07686645969067063,-0.04179601138556313,0.11266589075442944,-0.08152372417926447,-0.03712623890168073,0.2429612989911925
DOBBLE,2,1,WMS12P,18,alpha,-0.22056067769900303,-0.2776219048242368,-0.07907326314867771,-0.17291619404407224,-0.06456645761585764,-0.06215449412596818,-0.020285333194136508,0.1532254329526659
DOBBLE,2,1,WMS12P,19,alpha,0.04438777594787528,-0.10707010903745717,-0.08504487504453696,-0.040619042535148885,0.008530229791274307,-0.10818951578605313,-0.11942072430972615,-0.1479627449613587
DOBBLE,2,1,WMS12P,20,alpha,0.060132967315361906,-0.13693125468773615,-0.23561766613072754,-0.2570095506180498,-0.04342765059917692,-0.2187603572460755,-0.13332447450386947,0.17724641421871373
DOBBLE,2,1,WMS12P,21,alpha,-0.3156623968630938,-0.32281928912041413,-0.1936157831079646,-0.2880704761250825,-0.044803443327771475,-0.14586678660794655,-0.04587803704626031,0.38041752245273347
DOBBLE,2,1,WMS12P,22,alpha,0.0021556227658079126,-0.4838006302821801,0.12808163582919338,0.31322561761879547,-0.5669013802276448,0.06164060647082205,-0.1751234142880653,-0.45566492800307773
DOBBLE,2,1,WMS12P,23,alpha,-0.14892867639859697,-0.4863355520561304,-0.24803841035264154,-0.3256283256445513,-0.5397022602793469,-0.22967809599487923,-0.2105463473387289,-0.12381823549948297
DOBBLE,2,1,WMS12P,24,alpha,-0.39543199391068057,-0.5341550606537852,-0.1563761000630146,-0.33525829558209713,-0.6221517191182449,-0.20357362371959759,-0.10426774953279239,-0.4913681489038916
DOBBLE,2,1,WMS12P,25,alpha,-0.1664689668636371,-0.513477594297646,-0.15330541426665217,-0.21418225576794195,-0.2931501463298091,-0.23915884573030802,-0.25879990624968646,-0.023324164716742236
DOBBLE,2,1,WMS12P,26,alpha,-0.24804769250920666,-0.46103298834661555,-0.2805460131702975,-0.4409302952047256,-0.41386697267669253,-0.2869423224014033,-0.25536105585671415,-0.45410604830549617
DOBBLE,2,1,WMS12P,27,alpha,0.09721474957562287,-0.21665812590737787,-0.07885194747684368,-0.15694897612482514,-0.05238658407351396,-0.03373114464631891,-0.010795352087242971,-0.490218886678232
